Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Contrast,Accuracy,Condition
1,2,2,6,0.379,1.792,0.64,1,MM
1,2,2,6,0.496,1.339,0.62,1,MM
1,1,2,6,0.445,1.79,0.64,0,MM
1,1,2,6,0.529,1.339,0.66,0,MM
1,1,1,6,0.729,1.723,0.68,1,MM
1,2,2,6,0.33,1.288,0.66,1,MM
1,2,1,6,0.63,1.106,0.68,0,MM
1,1,2,6,0.512,1.306,0.7,0,MM
1,2,2,6,0.363,1.207,0.72,1,MM
1,2,2,5.95,0.246,1.107,0.7,1,MM
1,2,2,6,0.53,1.508,0.68,1,MM
1,1,1,6,0.562,2.027,0.66,1,MM
1,1,2,6,0.444,1.557,0.68,0,MM
1,2,2,6,0.396,2.576,0.7,1,MM
1,2,2,6,0.261,1.79,0.68,1,MM
1,1,1,6,0.328,1.521,0.66,1,MM
1,1,1,6,0.596,1.122,0.64,1,MM
1,2,2,6,0.246,1.304,0.62,1,MM
1,2,2,6,0.311,1.138,0.6,1,MM
1,2,2,2.25,0.996,0.973,0.58,1,MM
1,1,2,3.5,1.03,0.255,0.6,0,MM
1,1,1,3.5,1.079,0.338,0.62,1,MM
1,2,2,6,0.396,1.423,0.6,1,MM
1,1,2,6,0.545,1.424,0.62,0,MM
1,1,2,4.8,0.513,0.904,0.64,0,MM
1,2,2,6,0.496,2.145,0.66,1,MM
1,1,2,2.8,0.73,1.02,0.68,0,MM
1,1,2,2.1,1.08,1.055,0.7,0,MM
1,1,1,6,0.529,1.072,0.72,1,MM
1,2,2,2.8,1.498,0.938,0.7,1,MM
1,2,2,5.5,0.446,1.241,0.68,1,MM
1,1,1,5.65,0.562,1.326,0.66,1,MM
1,1,2,4,0.562,0.924,0.68,0,MM
1,1,1,4.95,0.613,0.956,0.7,1,MM
1,1,1,4.35,0.646,0.902,0.68,1,MM
1,1,1,6,0.528,1.773,0.66,1,MM
1,2,2,5.1,0.597,1.086,0.64,1,MM
1,1,1,6,0.561,1.458,0.62,1,MM
1,2,2,2.4,1.232,1.209,0.6,1,MM
1,2,1,2.35,0.428,1.275,0.62,0,MM
1,1,2,6,0.612,1.29,0.64,0,MM
1,2,2,6,0.678,1.34,0.66,1,MM
1,2,2,6,0.345,1.543,0.64,1,MM
1,2,2,6,0.512,1.273,0.62,1,MM
1,2,2,6,0.363,1.191,0.6,1,MM
1,2,2,6,0.43,1.606,0.58,1,MM
1,2,2,6,0.68,1.476,0.56,1,MM
1,1,2,6,0.578,1.427,0.58,0,MM
1,1,2,6,0.662,1.142,0.6,0,MM
1,1,1,6,0.461,1.809,0.62,1,MM
1,1,1,6,0.896,2.108,0.6,1,MM
1,1,2,6,0.562,1.725,0.62,0,MM
1,2,2,6,0.563,1.557,0.64,1,MM
1,2,2,6,0.346,2.041,0.62,1,MM
1,1,1,6,0.595,1.443,0.6,1,MM
1,2,2,6,0.362,1.306,0.58,1,MM
1,1,1,2.1,1.332,1.054,0.56,1,MM
1,1,1,5.3,0.729,0.769,0.54,1,MM
1,1,1,5.95,1.062,1.219,0.52,1,MM
