"","Subj_idx","Stimulus","Response","Confidence","RT_dec","RT_conf","Difficulty","Task"
"267",1,2,2,3,0.464284157998918,1.21016567400511,5,"visual"
"268",1,1,2,2,0.543887237996387,1.98623632200179,10,"visual"
"269",1,2,2,3,0.505689923993486,1.53435545400134,10,"visual"
"270",1,2,2,4,0.436494126006437,0.392675512004644,5,"visual"
"271",1,2,2,4,0.505677578003088,1.10767274499813,5,"visual"
"272",1,2,1,2,1.29380258400488,1.31336130500131,10,"visual"
"273",1,2,1,1,1.94485916999838,0.58097702699888,15,"visual"
"274",1,2,1,2,1.06881678300124,0.828696743003093,20,"visual"
"275",1,2,2,3,0.470160224998835,0.567393600002106,20,"visual"
"276",1,2,1,1,1.36114757199539,0.680160541000078,25,"visual"
"277",1,1,2,2,0.468379503996402,1.61575793199881,30,"visual"
"278",1,1,1,1,1.648648012997,1.00283535599738,30,"visual"
"279",1,2,2,3,0.447664396000619,0.579399318005017,25,"visual"
"280",1,2,2,4,0.523954549003975,0.380397952998464,25,"visual"
"281",1,1,2,3,0.818434357002843,1.01194169499649,30,"visual"
"282",1,2,2,4,1.26519234800071,0.730827245999535,30,"visual"
"283",1,1,1,1,1.8563451509981,0.314022582999314,25,"visual"
"284",1,1,2,2,0.764647448995674,1.03062125600263,30,"visual"
"285",1,1,2,3,0.88354397600051,1.15978027699748,35,"visual"
"286",1,1,2,3,0.854130813000666,0.858833467005752,40,"visual"
"287",1,1,1,3,0.76961969799595,1.21141266499762,40,"visual"
"288",1,1,1,4,0.568142178999551,0.660386383002333,35,"visual"
"289",1,2,2,4,1.31315214099595,0.918554078998568,35,"visual"
"290",1,2,2,3,0.959130529001413,0.915185292004026,30,"visual"
"291",1,1,1,3,0.521501259994693,1.61761176800064,30,"visual"
"292",1,1,1,1,1.6236167140014,1.28559097099787,25,"visual"
"293",1,2,2,3,0.886176673004229,0.893363572999078,25,"visual"
"294",1,1,1,4,0.571462863001216,0.799504708993481,20,"visual"
"295",1,1,2,2,1.03082628599805,1.37039280399767,25,"visual"
"296",1,1,2,1,1.09832799199648,1.73220019300061,30,"visual"
"297",1,1,1,3,1.10634156699962,0.691896160002216,30,"visual"
"298",1,1,2,2,0.868714487995021,1.57815849799954,35,"visual"
"299",1,2,2,1,1.43204325399711,0.657838389000972,35,"visual"
"300",1,2,2,2,0.653638055999181,0.809094097996422,30,"visual"
"301",1,2,2,4,0.483562548004556,1.00393696300307,30,"visual"
"302",1,2,2,4,0.730427515001793,0.589264790993184,25,"visual"
"303",1,1,1,4,0.689823960005015,0.587240872999246,25,"visual"
"304",1,2,2,4,0.598013369002729,0.444096674997127,20,"visual"
"305",1,1,2,3,0.702983869996388,0.754880825996224,25,"visual"
"306",1,2,1,4,0.642845565998869,1.30583872699935,30,"visual"
"307",1,2,2,4,0.495228923995455,0.659953730006237,30,"visual"
"308",1,1,2,1,1.32343767899874,0.482560989003105,35,"visual"
"309",1,1,1,2,0.824325635003333,1.13380740399589,35,"visual"
"310",1,2,2,4,0.497699725994607,0.548035534004157,30,"visual"
"311",1,1,1,3,0.714729585997702,0.631629752002482,30,"visual"
"312",1,2,2,2,0.838029247999657,0.630196052996325,25,"visual"
"313",1,2,1,4,0.848290718000499,0.771169745996303,30,"visual"
"314",1,1,2,1,1.08302794700285,0.920754225997371,35,"visual"
"315",1,2,1,2,0.822865489994001,1.06881656199403,40,"visual"
"316",1,2,1,1,1.90543015400181,1.33290054499957,45,"visual"
"317",1,2,2,3,0.457362453002133,0.686093698001059,45,"visual"
"318",1,1,1,4,0.552086118004809,0.490493970995885,40,"visual"
"319",1,1,2,1,1.21922289200302,0.913846884999657,45,"visual"
"320",1,2,1,1,1.6515456729976,0.711146986999665,50,"visual"
"321",1,1,1,2,0.887814672001696,1.53466345000197,50,"visual"
"322",1,1,1,3,0.989291564997984,0.581054171998403,45,"visual"
"323",1,1,1,4,0.813165271996695,0.281266169004084,45,"visual"
"324",1,2,2,3,1.14949911699659,0.529498573996534,40,"visual"
