Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Temporal_distance,Condition,Task
2,2,2,4,2.523106247,0.785178345,3,Congruent,N
2,2,2,4,3.584650017,0.862514928,3,Congruent,N
2,1,2,4,4.703077455,0.671955417,1,Incongruent,N
2,1,2,2,4.358174212,0.487974364,2,Congruent,N
2,2,2,4,2.648375529,1.664703727,2,Incongruent,N
2,2,1,3,5.332292376,0.622508463,1,Congruent,N
2,1,1,4,1.489470158,0.742269644,3,Incongruent,N
2,2,2,4,3.79817157,1.174788031,1,Congruent,N
2,2,1,3,4.423820954,0.483422161,1,Incongruent,N
2,1,1,2,5.953773147,1.228344111,3,Incongruent,N
2,1,2,4,2.104477085,1.033780499,1,Incongruent,N
2,1,2,2,2.692750895,0.578189301,2,Incongruent,N
2,1,1,3,3.423674903,0.693325254,1,Incongruent,N
2,2,2,4,2.194193151,0.621328155,3,Congruent,N
2,2,2,4,2.362770313,1.294184905,3,Congruent,N
2,1,1,2,3.197486278,1.034718345,1,Congruent,N
2,1,1,4,2.21316422,0.824948995,3,Incongruent,N
2,2,2,3,3.758891176,0.539624804,1,Congruent,N
2,2,2,4,1.876811538,0.672504339,2,Incongruent,N
2,1,1,4,2.982055802,1.704811198,1,Congruent,N
3,2,2,2,4.595443868,1.64238488,3,Incongruent,C
3,2,2,3,6.292990048,1.590864597,2,Congruent,C
3,2,2,4,4.538695289,1.353063746,2,Incongruent,C
3,1,2,3,5.738433875,1.659623402,2,Incongruent,C
3,2,2,4,5.793349842,2.341960594,1,Congruent,C
3,1,1,4,2.580016213,1.998886977,1,Incongruent,C
3,1,1,4,3.413506264,1.217681926,2,Congruent,C
3,2,1,4,2.419213327,1.115415921,2,Incongruent,C
3,2,2,3,4.783930788,1.609880755,2,Incongruent,C
3,1,1,4,2.315823223,1.387406226,1,Incongruent,C
3,1,2,3,3.044531172,1.508525928,1,Congruent,C
3,1,1,4,5.239443513,1.311467951,3,Congruent,C
3,2,2,4,4.873010364,0.776615934,1,Incongruent,C
3,1,2,4,2.477739132,0.856036867,2,Congruent,C
3,1,1,3,3.976553494,1.265609192,1,Congruent,C
3,2,1,2,4.618456734,1.469518434,3,Incongruent,C
3,2,1,4,4.694260445,1.037586779,1,Congruent,C
3,2,1,4,3.92069558,1.292765638,3,Incongruent,C
3,2,2,4,5.326988323,1.202108631,2,Incongruent,C
3,2,2,4,4.649953272,0.789383493,1,Congruent,C
3,2,2,4,5.399661785,0.569259317,2,Incongruent,C
3,1,1,4,3.789003596,0.818514088,2,Incongruent,C
3,2,2,4,4.128565837,0.91610236,1,Congruent,C
3,1,1,4,4.550498337,0.83617189,3,Incongruent,C
3,1,1,4,5.984106296,0.914875697,3,Incongruent,C
3,1,1,4,3.560883132,0.897592457,3,Congruent,C
3,1,1,4,4.243041043,0.683492471,3,Congruent,C
3,1,1,4,4.535115401,0.824803713,1,Incongruent,C
3,2,2,3,3.28595786,1.195800544,2,Congruent,C
3,1,1,4,2.237043519,0.645429386,2,Incongruent,C
3,1,1,4,3.204749034,0.716936902,3,Congruent,C
3,1,1,4,3.895752051,0.891960881,3,Congruent,C
3,2,2,4,3.216205006,0.912090063,2,Incongruent,C
3,2,2,4,2.370962779,0.863574079,1,Incongruent,C
3,1,1,4,1.75720429,0.741585867,2,Congruent,C
3,2,2,2,2.821739926,1.557479243,1,Congruent,C
3,1,1,4,4.155246387,0.345657816,3,Incongruent,C
3,1,1,4,2.650477989,1.00755034,3,Congruent,C
3,2,2,4,2.546077425,0.814964968,3,Incongruent,C
3,2,1,4,3.838908294,0.777945572,1,Congruent,C
3,2,2,4,2.96006615,0.640429603,3,Congruent,C
3,2,1,3,5.286614679,1.410352221,1,Congruent,C
3,2,2,2,4.989389975,0.605694099,1,Incongruent,C
3,2,2,3,5.323716536,2.290147388,3,Congruent,C
3,1,1,4,3.825588122,1.051774232,2,Incongruent,C
3,1,1,1,3.189681995,0.720447457,2,Congruent,C
3,2,2,4,3.009679566,1.158911199,1,Congruent,C
3,1,1,3,3.921770859,1.704900419,3,Incongruent,C
3,1,1,2,4.815553685,1.385302436,1,Congruent,C
3,2,2,4,3.207561335,0.938030101,2,Incongruent,C
3,2,2,4,3.029651619,0.693853061,2,Congruent,C
3,1,1,3,5.051352079,1.243097658,2,Congruent,C
3,2,2,4,4.239114488,0.609090603,3,Incongruent,C
3,2,1,3,4.195772646,2.125754357,1,Incongruent,C
