Subject,VP_scores,VP_rates,VP_dprime,VP_metad,VP_criterion,VP_mratio,VP_mdiff,SM_scores,SM_rates,SM_dprime,SM_metad,SM_criterion,SM_mratio,SM_mdiff,EM_scores,EM_rates,EM_dprime,EM_metad,EM_criterion,EM_mratio,EM_mdiff,EF_scores,EF_rates,EF_dprime,EF_metad,EF_criterion,EF_mratio,EF_mdiff
117,"(17, 5, 4, 14)","(0.7727272727272727, 0.2222222222222222)",1.4256000035870156,0.6822608416116501,0.008425539511542457,0.4785780302293654,-0.7433391619753654,"(9, 4, 3, 24)","(0.6923076923076923, 0.1111111111111111)",1.614057131833188,1.2794102499414663,0.3591190627369973,0.792667263573476,-0.33464688189172165,"(19, 6, 1, 14)","(0.76, 0.06666666666666667)",1.992500647499618,1.6761914145814003,0.39739169160196874,0.8412501228969973,-0.3163092329182178,"(20, 2, 0, 18)","(0.9090909090909091, 0.027777777777777776)",3.1714260728215207,1.8258941822567483,0.2896640444683105,0.5757328534012796,-1.3455318905647724
118,"(14, 6, 11, 9)","(0.7, 0.55)",0.37755245764171186,0.6549884501138009,-0.3250309297815574,1.7348276692595896,0.27743599247208905,"(13, 8, 2, 17)","(0.6190476190476191, 0.10526315789473684)",1.4391587354504725,1.1899378879596378,0.4745695361045065,0.8268287984140779,-0.24922084749083462,"(13, 5, 5, 17)","(0.7222222222222222, 0.22727272727272727)",1.264025446111678,1.851690996906594,0.07920139845676194,1.464915918111189,0.587665550794916,"(19, 0, 4, 17)","(0.9736842105263158, 0.19047619047619047)",2.785458475469291,2.129817321471421,-0.5308943308029944,0.764620022243409,-0.6556411539978697
119,"(18, 7, 3, 12)","(0.72, 0.2)",1.334306523987526,0.6916855415636279,0.129389863150849,0.518385790018137,-0.6426209824238981,"(17, 8, 4, 11)","(0.68, 0.26666666666666666)",1.0275576455614892,1.8219558692430773,0.07761346204778968,1.7730935846888711,0.7943982236815881,"(13, 4, 9, 14)","(0.7647058823529411, 0.391304347826087)",0.9386367270220064,1.844906164425319,-0.22280061043719165,1.965516702376025,0.9062694374033127,"(25, 1, 0, 14)","(0.9615384615384616, 0.03571428571428571)",3.4271334538389637,2.5747431139399217,0.016959026110241915,0.7512818361525367,-0.852390339899042
120,"(8, 9, 7, 16)","(0.47058823529411764, 0.30434782608695654)",0.41909149079621416,-0.06349941861088647,0.292863743839801,-0.15151684060739723,-0.48259090940710064,"(15, 4, 8, 13)","(0.7894736842105263, 0.38095238095238093)",1.0442243814349346,1.7221958316044979,-0.2508079661520468,1.6492583990788645,0.6779714501695633,"(19, 6, 4, 11)","(0.76, 0.26666666666666666)",1.2536219124516355,2.4277679064239233,-0.04168841981499982,1.9366029600392665,1.1741459939722878,"(15, 4, 7, 14)","(0.7894736842105263, 0.3333333333333333)",1.165398348547806,2.4620099044080517,-0.18693454053242134,2.112590864296267,1.2966115558602456
121,"(13, 8, 4, 15)","(0.6190476190476191, 0.21052631578947367)",1.0442243814349337,0.999742470575866,0.2508079661520468,0.9574019610632513,-0.04448191085906772,"(17, 3, 3, 17)","(0.85, 0.15)",1.9348431322034028,2.0729129342762107,-0.0,1.07135968791205,0.13806980207280795,"(6, 11, 11, 12)","(0.35294117647058826, 0.4782608695652174)",-0.3032452374635896,1.153218745399794,0.21595542933832745,-3.802924507720455,1.4564639828633836,"(17, 0, 2, 21)","(0.9705882352941176, 0.08695652173913043)",3.1726673861186545,2.722831190093982,-0.2648862881974119,0.8582151416209474,-0.4498361960246724
122,"(13, 2, 11, 14)","(0.8666666666666667, 0.44)",1.1551111104603566,1.3591107121846817,-0.47990120057000407,1.1766060423771902,0.20399960172432507,"(10, 9, 7, 14)","(0.5263157894736842, 0.3333333333333333)",0.4726901001305518,0.20382950897078367,0.18235774345980849,0.4312117154865063,-0.2688605911597681,"(18, 1, 4, 17)","(0.9473684210526315, 0.19047619047619047)",2.265025961867692,2.6498264549894985,-0.3718567046957144,1.1698878951500002,0.38480049312180675,"(18, 2, 2, 18)","(0.9, 0.1)",2.359522235223723,1.5754951764875826,-0.0,0.6677178765124877,-0.7840270587361402
123,"(13, 9, 5, 13)","(0.5909090909090909, 0.2777777777777778)",0.7746458585212331,1.3902386613792874,0.17978584013527305,1.7946764267651227,0.6155928028580543,"(13, 8, 4, 15)","(0.6190476190476191, 0.21052631578947367)",1.0442243814349332,1.9799265305986435,0.2508079661520468,1.896073837959907,0.9357021491637103,"(22, 2, 1, 15)","(0.9166666666666666, 0.0625)",2.633253805475262,1.4530823075811043,0.07556320862595411,0.551820073158062,-1.1801714978941575,"(16, 7, 2, 15)","(0.6956521739130435, 0.11764705882352941)",1.5741013191914288,1.4661074577418476,0.33744760944224456,0.9313933225689344,-0.10799386144958123
124,"(9, 11, 8, 12)","(0.45, 0.4)",0.12139228084618527,0.09523361184451654,0.18950422499543687,0.7845112653018352,-0.02615866900166873,"(10, 5, 7, 18)","(0.6666666666666666, 0.28)",0.9601348281613242,2.005636690396191,0.07605710398787938,2.0889115065610335,1.0455018622348666,"(20, 2, 2, 16)","(0.9090909090909091, 0.1111111111111111)",2.3524529430312517,1.8460034165864456,-0.05726869363579312,0.7847142796436893,-0.5064495264448061,"(21, 0, 3, 16)","(0.9761904761904762, 0.15789473684210525)",2.935012860179461,2.5162424287711893,-0.4888022144923726,0.8573190471871848,-0.41877043140827164
125,"(10, 6, 7, 17)","(0.625, 0.2916666666666667)",0.8237074231737082,1.075722717118066,0.11494145936686137,1.3059524375455476,0.25201529394435795,"(14, 3, 8, 15)","(0.8235294117647058, 0.34782608695652173)",1.2357295303718965,2.511827945994395,-0.26885161672889946,2.0326680590359065,1.2760984156224986,"(19, 4, 6, 11)","(0.8260869565217391, 0.35294117647058826)",1.2426369768584067,1.7224405993268022,-0.2807111865241747,1.3861172904104455,0.4798036224683955,"(17, 2, 2, 19)","(0.8947368421052632, 0.09523809523809523)",2.3577634305982107,0.9913890797008958,0.028526098260278743,0.420478605628963,-1.3663743508973147
126,"(14, 8, 8, 10)","(0.6363636363636364, 0.4444444444444444)",0.4653179504734676,0.6009953408350858,-0.1045226983175913,1.2915799620959487,0.1356773903616182,"(14, 5, 7, 14)","(0.7368421052631579, 0.3333333333333333)",1.0077434482298158,1.6399960548619115,-0.1014563507421217,1.6273944104947538,0.6322526066320957,"(20, 2, 4, 14)","(0.9090909090909091, 0.2222222222222222)",1.949992062146682,3.216028638909835,-0.2852340311662746,1.6492521694521234,1.266036576763153,"(13, 0, 0, 27)","(0.9615384615384616, 0.018518518518518517)",3.9029085835836606,3.2842341046850376,0.15826526375656114,0.8414837381790392,-0.6186744788986229
127,"(14, 14, 3, 9)","(0.5, 0.25)",0.6151411045959726,-0.07757484244979934,0.33724487509804085,-0.12610902095503898,-0.692715947045772,"(8, 7, 7, 18)","(0.5333333333333333, 0.28)",0.636297175572711,1.5847701692179847,0.24959488668204355,2.4906132386829833,0.9484729936452737,"(13, 3, 6, 18)","(0.8125, 0.25)",1.4641374937252971,2.1323295308774983,-0.10632840441139713,1.4563724650285939,0.6681920371522012,"(10, 2, 2, 26)","(0.8333333333333334, 0.07142857142857142)",2.2339125214592146,2.0668142634646647,0.24890611329191098,0.9251992831458773,-0.16709825799454991
